"Po¯.";"ID";"JmÈno";"T˝m";"G";"PAB";"AB";"H";"BA";"2B";"3B";"HR";"TB";"SA";"R";"RBI";"BB";"HP";"SO";"SOA";"SH";"SF";"SB";"CS";"SBA";"OBP";
"208";"5219";"Kocour Dan";"Hroöi";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"1";"0,000";"0,000";
"209";"1907";"Kohout Michal";"Skokani";"6";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"210";"5491";"Kr·l Michael";"Kotl·¯ka";"5";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"211";"5917";"Kvapil Ond¯ej";"Eagles";"7";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"212";"7511";"Mencl MatÏj";"Eagles";"2";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"213";"6539";"Mencl Pavel";"Eagles";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"214";"6449";"Mikö Mari·n";"Tempo";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"215";"2736";"Mina¯Ìk Petr";"Draci";"11";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"216";"6316";"Nov·Ëek Milan";"Technika";"5";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"217";"5436";"Nov·k Jan";"Kotl·¯ka";"9";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
